0.2025,0.465,0.4277,0.4395,0.1978,0.2241,0.2135,0.394,0.4375,0.3304,0.5591,0.1174,0.329,0.2239,0.2669,0.3238,0.163,0.2321,0.08323,0.1336
0.2807,0.4913,0.6423,0.8703,0.7336,0.3419,0.1905,0.4627,0.3823,0.4959,0.8893,0.5228,0.6229,0.5534,0.2709,0.2121,0.299,0.3084,0.1136,0.4873
0.634,0.2533,0.9453,1.447,0.8862,0.7192,0.726,0.3455,0.8297,1.023,1.404,0.34,0.4082,0.7924,0.7097,0.8942,0.6286,4.025e-13,0.6144,0.5937
0.5855,0.75,0.9899,1.595,0.3716,0.8485,0.551,0.3126,0.6301,0.8244,1.381,1.353,0.6058,1.231,0.6793,1.096,0.4484,7.481e-14,0.9083,0.9578
1.083,0.7204,2.556,1.649,0.4361,0.9971,0.5696,0.8309,0.6173,0.9452,1.086,0.8725,0.6976,0.9379,0.4253,1.523,0.7704,0.4679,0.9576,0.9108
1.076,0.5268,2.535,0.483,0.5832,1.266,0.8563,1.317,0.9522,0.6887,1.018,0.8545,1.027,0.7738,0.723,1.656,0.3103,-1.056e-06,1.265,0.8378
1.11,0.5609,2.489,-1.279e-06,0.7531,1.514,1.2,1.346,0.6656,0.9615,1.156,0.9424,1.651,1.103,0.5067,1.661,0.5401,0.5062,1.792,1.004
1.114,0.4907,2.24,0.4606,0.9208,2.065,0.8731,1.44,0.9561,0.7945,1.228,0.5087,2.088,0.8507,0.9944,1.364,0.8678,0.5089,1.67,0.5389
0.8977,1.248,2.088,0.6359,0.4042,1.623,2.201,1.613,0.9647,0.8745,1.246,0.4635,1.915,0.5467,1.026,1.156,1.053,0.7277,1.447,0.7189
0.4172,1.32,2.718,2.803,0.5499,0.4085,3.037,1.246,1.111,0.7351,1.14,0.3678,1.845,1.838,2.377,1.112,1.386,0.8519,1.381,0.8686
0.4549,0.1753,0.3452,2.55,2.8,0.327,2.592,0.3415,1.058,0.9936,1.079,0.3357,0.4583,0.4247,2.153,1.084,1.401,0.5664,1.456,0.8694
-1.371e-06,0.4254,0.4515,0.6099,2.781,0.674,2.497,0.7011,0.8575,1.005,1.234,0.7569,0.789,0.6208,1.921,1.06,1.324,0.4372,2.158,0.9164
0.4621,0.522,0.4119,0.5414,2.681,2.733,2.232,0.6498,0.9903,1.699,0.9802,0.5103,0.9119,1.122,1.893,0.9787,1.916,0.4536,1.932,0.4307
0.8956,0.8086,0.6337,0.7473,0.4169,2.51,2.018,0.9717,1.184,1.476,-6.314e-07,0.3512,0.1765,1.154,2.496,0.5579,1.857,0.2832,1.785,0.5557
1.079,1.113,0.7501,1.012,0.9033,2.484,2.05,2.632,0.9941,1.454,0.6146,0.857,0.7262,0.585,2.321,2.482,1.716,0.6376,1.677,0.7287
0.8358,1.145,0.8805,0.9604,3.503,2.291,0.4335,2.438,1.038,1.399,0.6549,0.736,0.595,0.2567,0.3613,2.366,1.605,1.844,1.6,0.7754
0.6406,1.108,0.6374,0.4642,3.094,6.247e-15,0.07926,2.233,0.8214,1.701,0.6784,0.7135,0.5921,0.1965,0.3678,2.137,1.997,2.976,1.416,0.5698
0.5638,1.872,0.7312,2.889,2.83,0.5042,0.452,2.387,0.9783,1.604,0.5854,0.9723,0.4451,0.5888,0.3889,0.3739,2.078,2.839,0.3019,0.4435
8.608e-14,1.567,0.5644,2.724,0.4313,0.7647,0.4804,2.391,1.092,1.607,1.463,1.087,0.7311,0.752,0.7344,0.4401,1.972,2.728,0.2898,0
0.2222,1.459,0.365,2.671,0.7214,0.9801,0.5833,2.225,1.175,1.49,1.424,0.4089,0.7048,0.8224,0.765,0.7898,4.498,2.759,0.4346,0.3562
0.3597,1.43,0.5833,2.601,0.4858,1.147,0.4027,2.088,0.8785,1.339,2.841,0.7258,1.003,0.8719,0.9124,1.005,4.795,0.7548,0.382,0.5447
0.525,1.41,0.4039,2.564,0.4221,1.447,0.5667,2.634,0.7175,0.2738,2.621,0.4375,1.569,0.9627,0.9673,5.234,4.922,0.7424,0.5754,0.2663
0.3622,1.25,0.4836,2.473,0.4443,1.427,2.761,2.543,0.56,0.4531,2.382,0.563,1.431,0.5812,1.069,4.893,0.7697,0.4381,1.298,0.4578
1.367,1.246,0.9048,2.419,0.312,1.298,3.577,0.4653,0.5237,0.6463,2.176,0.8371,1.173,0.7995,1.21,4.822,1.014,0.6326,1.519,0.7332
1.322,0.4981,2.938,2.477,0.6197,0.3403,3.359,0.8898,0.6303,0.4985,2.105,3.474,1.189,0.5507,5.797,5.183,0.9799,0.7842,1.5,1.074
1.134,0.6139,2.874,0.6408,0.7385,0.4531,3.17,0.916,0.3623,0.8325,0.5502,3.168,0.6362,5.638,5.464,0.7996,0.5556,0.6442,1.147,1.145
1.288,0.8064,2.654,2.983,0.8755,0.8134,3.107,0.667,0.4877,0.9704,1.122,2.953,3.101,5.431,0.4242,0.9078,4.132e-13,0.4832,1.33,1.266
1.14,0.5692,2.425e-14,2.737,0.9719,0.7344,3.057,0.7279,1.342e-14,0.5194,1.269,0.5331,2.889,5.576,0.6132,0.8903,0.228,0.3055,1.355,1.303
1.185,0.7299,0.5856,2.755,1.117,0.7163,3.533,0.8841,0.3862,0.8076,1.692,0.3668,2.679,7.936,0.4966,2.223,1.787,1.948,1.947,1.027
1.035,1.579,4.043,2.467,1.061,1.045,3.403,0.425,0.0574,0.3868,1.762,0.1745,0.3846,7.75,9.757,2.262,0.3316,0.1853,0.3753,0.3416
0.5705,0.3684,3.467,0.3819,1.045,0.9773,3.392,0.5945,0.4954,0.3659,1.814,5.211e-13,0.5194,0.3126,9.759,0.5686,0.3124,0.5908,0.8723,0.6911
4.249e-15,4.123e-15,3.307,3.301,0.8101,0.7466,4.27,0.9309,0.8718,0.4981,1.574,0.1736,0.7316,0.4913,9.394,0.6126,0.6646,1.265,0.9301,0.9753
0.3162,0.3828,6.979e-15,3.082,0.9086,0.1131,4.014,0.7311,0.5935,0.6077,1.713,0.5703,0.5557,8.949,9.235,0.7841,0.6009,0.9916,2.042,0.7518
