0.3244,0.5024,0.2765,0.3738,0.2819,0.3336,0.4543,0.2109,0.3648,0.06277,0.1994,0.4232,0.3575,0.4896,0.5752,0.5247,0.3771,0.2498,0.3577,0.416
0.4539,0.9414,0.3237,0.3631,0.707,0.7616,0.8117,0.3899,0.7042,0.4105,0.4369,0.9872,0.6918,0.7228,0.7509,1.273,0.7756,0.497,0.7118,0.3947
0.8288,1.177,0.6439,0.2452,0.4802,0.9619,1.414,0.3302,0.8747,0.4473,0.06669,1.04,0.6516,0.7154,0.5622,1.3,0.1426,0.1356,0.7765,0.4179
1.158,1.302,0.7767,0.1858,0.8992,0.09442,1.175,0.5075,0.9358,0.7322,0.3701,1.148,0.8957,0.912,0.7678,1.612,1.458,1.012,1.014,0.5044
1.235,2.045,1.11,0.4872,0.9017,0.132,1.059,0.7805,1.035,0.7248,0.3197,1.182,1.084,0.961,0.08959,0.317,1.411,2.437,0.562,0.4812
1.1,2.132,0.4157,0.3753,1.038,0.4443,1.283,1.065,1.104,0.9373,1.077,1.943,1.139,1.133,0.1038,0.09636,0.107,2.205,0.3864,0.4226
1.069,1.961,0.1331,0.3386,0.9653,0.855,1.453,2.075,1.199,0.1246,0.4516,1.761,1.203,1.295,0.183,0.1796,0.2558,2.358,0.5174,0.3213
1.316,1.798,0.1618,0.7871,1.233,1.138,1.193,1.875,0.2097,0.2172,0.4948,1.747,1.465,1.437,0.3526,0.2003,2.208,2.175,0.3704,0.4786
1.498,1.85,0.6259,1.027,1.166,0.9431,1.187,1.663,0.5342,0.6224,0.473,1.681,1.149,1.193,0.5952,0.5621,2.2,0.3204,0.3831,0.8751
1.274,1.735,0.8826,1.124,1.183,1.064,1.382,1.553,0.6406,1.234,0.7257,2.528,1.162,1.219,0.6256,0.6218,2.081,0.4565,0.3635,0.8048
1.422,1.718,1.03,1.075,1.136,1.785,1.446,1.418,0.374,1.235,0.6724,2.275,0.08804,1.533,0.9004,0.8597,2.05,0.759,0.4149,1.006
1.338,1.687,1.182,1.243,0.3467,1.727,2.642,3.656,0.3073,1.291,0.6681,2.048,1.914,3.027,1.115,1.026,2.076,0.7882,0.4325,0.9807
1.405,1.662,1.338,1.487,0.8423,0.4872,0.3467,3.558,0.4398,1.879,0.8438,0.08055,0.08488,2.781,3.433,0.9738,1.999,1.654,1.113,0.9104
1.29,2.646,1.383,1.474,0.8845,0.9425,0.5513,3.28,0.6324,1.844,0.6563,0.3251,0.5556,1.003,3.756,0.9908,2.001,1.574,0.09665,0.107
0.3861,2.622,1.478,1.487,1.15,0.7621,0.4257,3.13,0.6735,1.672,0.5385,0.3208,0.6995,0.6594,3.371,0.8453,1.975,1.587,0.5934,0.3273
0.3352,2.516,1.587,1.613,1.268,0.5918,0.717,3.13,0.9858,1.614,1.258,0.9839,0.8743,0.7464,3.575,3.965,1.993,1.574,0.7173,0.3639
0.2735,2.343,3.434,1.548,1.758,0.7883,0.7379,3.462,1.066,2.807,1.679,0.5756,0.5433,0.3416,0.4494,3.959,1.985,1.523,0.7625,0.9016
0.4618,0.4712,3.385,1.497,2.066,0.5302,0.4081,3.244,1.071,3.283,1.179,0.68,0.116,0.1001,0.4529,3.733,1.993,1.456,0.7713,0.893
0.8115,0.5315,3.101,1.452,1.784,0.09636,0.3449,3.208,1.118,2.991,0.2564,0.5479,0.1307,0.1123,0.4764,6.436,3.028,1.296,0.8049,0.9067
0.8785,0.7305,2.978,1.33,1.518,0.2286,0.513,3.373,1.188,2.718,0.8785,0.4969,0.2231,0.2213,0.428,6.257,0.08054,0.09291,0.9891,1.037
1.027,0.6372,5.01,2.43,1.377,0.06565,0.3862,3.184,3.96,2.551,0.9097,0.4597,0.2675,0.6653,0.4127,6.15,0.6967,0.1668,1.111,1.057
1.082,0.8137,5,0.6125,0.107,0.5149,0.6794,0.2993,3.728,2.41,0.9436,0.5402,0.547,0.873,0.6874,6.273,0.5768,0.2417,1.22,1.2
1.098,0.947,4.741,0.1588,0.1263,1.098,0.5557,0.2518,3.565,2.309,0.961,0.8037,0.7348,1.164,0.6159,6.163,0.41,0.6812,1.423,1.456
1.215,0.9362,4.518,0.1925,0.2167,0.8818,0.499,0.4546,3.502,2.198,2.74,3.082,0.8046,1.329,0.7963,6.148,0.5914,0.9445,1.185,1.344
1.004,1.005,4.363,4.314,4.161,4.595,0.7248,0.6164,3.457,0.3471,0.08054,2.822,0.7983,1.91,0.8243,6.077,0.8472,0.9371,1.182,1.33
0.9749,0.9685,0.3995,0.5682,0.3432,4.385,1.076,1.071,3.444,0.897,0.507,2.58,2.505,3.881,0.8999,6.007,1.119,1.247,1.508,1.541
1.096,0.8327,0.5663,0.9318,0.7894,4.297,0.9271,0.9545,3.389,0.9753,1.18,0.6499,0.6871,3.946,1.106,6.003,1.191,1.234,1.511,1.459
1.316,1.132,0.7356,1.124,4.517,4.074,1.037,0.9619,3.254,0.9918,1.23,0.2448,0.2846,3.679,1.136,5.999,1.365,1.366,1.347,1.572
1.278,1.025,0.7912,1.312,4.612,0.5247,0.845,1.452,3.174,3.961,1.391,0.3383,0.3064,3.523,1.08,5.931,1.426,1.373,1.145,1.391
1.351,1.038,0.8505,1.126,4.779,0.5709,0.209,1.492,0.6781,3.804,1.167,1.377,0.3263,3.368,1.126,5.89,1.351,2.14,1.168,1.277
